Temperature (K),Energy (kJ/mol),Entropy (J/K/mol),Helmholtz free energy (kJ/mol),Heat Capacity (J/K/mol)
0.0,12.7176392,0.0,12.7176392,0.0
10.0,12.7179208,0.0357656,12.7175632,0.1208839
20.0,12.7228407,0.339716,12.7160463,1.1219367
30.0,12.7491381,1.3576866,12.7084075,4.7201128
40.0,12.8288788,3.6034732,12.6847399,11.7215417
50.0,12.9904578,7.1713319,12.6318912,20.7882125
60.0,13.2460328,11.8046437,12.5377542,30.2962006
70.0,13.5944606,17.1579418,12.3934046,39.2471225
80.0,14.0276519,22.9305659,12.1932066,47.2117682
90.0,14.5350693,28.8991252,11.9341481,54.0933782
100.0,15.1061069,34.9101861,11.6150883,59.953043
110.0,15.7311267,40.8635068,11.2361409,64.9119589
120.0,16.4017894,46.6963914,10.7982224,69.1035233
130.0,17.111057,52.371667,10.3027403,72.6524952
140.0,17.8530617,57.8691333,9.751383,75.6675914
150.0,18.6229359,63.1796965,9.1459814,78.2402718
160.0,19.4166458,68.3014171,8.488419,80.4460984
170.0,20.2308425,73.2368722,7.7805743,82.3469506
180.0,21.0627376,77.991404,7.0242848,83.9933297
190.0,21.9099991,82.5719626,6.2213262,85.4264449
200.0,22.7706686,86.9863451,5.3733995,86.679986
210.0,23.6430929,91.2426991,4.4821261,87.7815817
220.0,24.52587,95.3492042,3.549045,88.7539783
230.0,25.4178048,99.3138699,2.5756147,89.6159842
240.0,26.317874,103.144414,1.5632147,90.3832227
250.0,27.2251971,106.8481925,0.513149,91.0687329
260.0,28.1390129,110.4321645,-0.5733499,91.6834479
270.0,29.0586609,113.9028806,-1.6951169,92.2365779
280.0,29.9835653,117.2664849,-2.8510505,92.7359169
290.0,30.9132221,120.5287271,-4.0401087,93.1880895
300.0,31.8471888,123.6949797,-5.2613051,93.5987511
310.0,32.785075,126.7702585,-6.5137051,93.9727492
320.0,33.7265355,129.7592444,-7.7964227,94.3142555
330.0,34.6712639,132.6663055,-9.1086169,94.626874
340.0,35.6189872,135.4955191,-10.4494893,94.9137299
350.0,36.5694617,138.2506922,-11.8182806,95.1775426
360.0,37.5224692,140.9353817,-13.2142682,95.4206863
370.0,38.4778135,143.5529131,-14.6367643,95.6452409
380.0,39.4353181,146.1063978,-16.085113,95.8530342
390.0,40.3948237,148.5987494,-17.5586885,96.0456769
400.0,41.3561859,151.0326983,-19.0568934,96.2245928
410.0,42.319274,153.4108059,-20.5791564,96.391044
420.0,43.283969,155.7354771,-22.1249314,96.546152
430.0,44.2501626,158.008972,-23.6936954,96.690916
440.0,45.2177559,160.2334163,-25.2849473,96.8262285
450.0,46.1866583,162.4108116,-26.8982069,96.9528887
460.0,47.1567872,164.5430439,-28.533013,97.0716135
470.0,48.1280663,166.6318925,-30.1889231,97.1830476
480.0,49.1004258,168.6790368,-31.8655119,97.287772
490.0,50.0738011,170.6860639,-33.5623702,97.3863114
500.0,51.048133,172.6544748,-35.2791044,97.4791406
510.0,52.0233664,174.5856903,-37.0153357,97.5666896
520.0,52.9994505,176.4810562,-38.7706988,97.6493494
530.0,53.9763382,178.3418487,-40.5448416,97.7274753
540.0,54.9539859,180.1692787,-42.3374245,97.8013912
550.0,55.932353,181.964496,-44.1481198,97.8713928
560.0,56.9114017,183.7285935,-45.9766107,97.9377502
570.0,57.8910967,185.4626107,-47.8225914,98.000711
580.0,58.8714053,187.1675367,-49.685766,98.0605021
590.0,59.8522969,188.8443138,-51.5658483,98.1173317
600.0,60.8337427,190.4938402,-53.4625614,98.1713914
610.0,61.8157161,192.1169724,-55.3756371,98.2228577
620.0,62.7981918,193.714528,-57.3048156,98.2718931
630.0,63.7811463,195.2872879,-59.249845,98.3186478
640.0,64.7645576,196.8359981,-61.2104812,98.3632606
650.0,65.7484048,198.3613724,-63.1864872,98.4058598
660.0,66.7326685,199.8640934,-65.1776331,98.4465643
670.0,67.7173302,201.3448148,-67.1836958,98.4854846
680.0,68.7023726,202.8041629,-69.2044582,98.5227231
690.0,69.6877793,204.2427378,-71.2397098,98.5583749
700.0,70.6735351,205.6611153,-73.2892456,98.5925288
710.0,71.6596252,207.0598476,-75.3528666,98.6252671
720.0,72.6460359,208.439465,-77.4303789,98.6566668
730.0,73.6327543,209.800477,-79.5215939,98.6867997
740.0,74.6197679,211.1433729,-81.626328,98.7157328
750.0,75.6070652,212.4686236,-83.7444025,98.7435289
760.0,76.5946349,213.7766817,-85.8756432,98.7702466
770.0,77.5824667,215.0679831,-88.0198803,98.7959409
780.0,78.5705505,216.3429473,-90.1769484,98.8206631
790.0,79.5588769,217.6019785,-92.3466861,98.8444616
800.0,80.5474368,218.8454662,-94.5289362,98.8673818
810.0,81.5362217,220.073786,-96.7235449,98.8894662
820.0,82.5252235,221.2873,-98.9303625,98.9107549
830.0,83.5144343,222.4863579,-101.1492427,98.9312856
840.0,84.5038468,223.6712969,-103.3800426,98.9510937
850.0,85.4934539,224.842443,-105.6226227,98.9702128
860.0,86.4832488,226.0001109,-107.8768466,98.9886743
870.0,87.4732253,227.1446049,-110.142581,99.0065081
880.0,88.463377,228.276219,-112.4196957,99.0237421
890.0,89.4536982,229.3952377,-114.7080634,99.0404029
900.0,90.4441832,230.5019363,-117.0075594,99.0565156
910.0,91.4348268,231.596581,-119.3180619,99.072104
920.0,92.4256236,232.6794297,-121.6394517,99.0871905
930.0,93.416569,233.7507323,-123.971612,99.1017964
940.0,94.407658,234.8107305,-126.3144287,99.1159419
950.0,95.3988863,235.859659,-128.6677898,99.129646
960.0,96.3902495,236.8977451,-131.0315857,99.1429269
970.0,97.3817435,237.925209,-133.4057093,99.1558019
980.0,98.3733643,238.9422648,-135.7900552,99.1682873
990.0,99.365108,239.9491198,-138.1845205,99.1803986
1000.0,100.3569711,240.9459753,-140.5890043,99.1921506
